"","twitter_id","screen_name","favorites_count","followers_count","friends_count","listed_count","statuses_count","creation_date","creation_time","location","link_color","sidebar_border_color","sidebar_fill_color","text_color","party"
"42",20916357,"RuedigerKruse",516,2205,1258,175,1709,"2009-02-15","15:44:24","Hamburg","08090A","0","D4D4D4","333333","C"
"43",20986770,"Diether_Dehm",479,5776,3193,267,3291,"2009-02-16","14:00:12","Germany","E01616","F2E195","FFF7CC","0C3E53","L"
"44",21144568,"OlliLuksic",25968,5350,2945,291,27670,"2009-02-17","23:17:52","Saarland Berlin Europa","0084B4","C0DEED","DDEEF6","333333","F"
"45",21197524,"tobiaslindner",9048,4480,2210,223,4945,"2009-02-18","13:58:56","Berlin Deutschland","298A08","BDDCAD","DDFFCC","333333","G"
"46",21267421,"KatrinHelling",150,1499,695,76,961,"2009-02-19","02:19:12","Hagen","E63A50","FFFFFF","EED96D","0F9A89","F"
"47",21287514,"voglerk",3180,3166,2356,178,7154,"2009-02-19","10:10:30","Emsdetten Germany","E81C4F","0","0","0","L"
"48",21404382,"CarenLay",4824,8260,782,333,3651,"2009-02-20","15:21:06","","C2245C","C0DEED","DDEEF6","333333","L"
"49",21579707,"marlenemortler",25,3574,134,246,3439,"2009-02-22","17:20:16","Lauf an der Pegnitz","1F98C7","C6E2EE","DAECF4","663B12","C"
"50",21618829,"joloulou",180,1261,421,47,126,"2009-02-23","01:13:58","Saarland","1DA1F2","C0DEED","DDEEF6","333333","S"
"51",21791639,"swenschulz",257,3819,749,249,1160,"2009-02-24","20:14:10","Berlin","1DA1F2","C0DEED","DDEEF6","333333","S"
"52",22125770,"ekindeligoez",1593,7144,1141,344,9459,"2009-02-27","09:59:05","","46962B","FFFFFF","FFFFFF","333333","G"
"53",22142658,"karinbinder",1,1611,374,172,983,"2009-02-27","14:11:10","Karlsruhe","DB000D","DB000D","F2F4F6","003C64","L"
"54",22260144,"petertauber",10051,188141,1166,956,22490,"2009-02-28","14:36:49","Gelnhausen","065B7A","BDDCAD","FF9114","18224E","C"
"55",22364234,"MarcusFaber",2582,1114,595,62,5676,"2009-03-01","13:59:34","Stendal Sachsen-Anhalt","0099CC","FFF8AD","F6FFD1","333333","F"
"56",22755312,"KemmerichThL",631,2654,2263,129,3901,"2009-03-04","10:26:54","Erfurt Germany","0084B4","BDDCAD","DDFFCC","333333","F"
"57",22900494,"BaerbelHoehn",546,15649,1771,584,6442,"2009-03-05","09:16:00","Oberhausen Berlin","65870D","D3D2CF","E3E2DE","634047","G"
"58",22908417,"JM_Luczak",3410,2452,342,124,1786,"2009-03-05","11:25:35","Berlin","2FC2EF","181A1E","252429","666666","C"
"59",23248102,"CanselK",4721,4319,1087,186,3049,"2009-03-07","23:27:23","Berlin","990066","0","DDEEF6","333333","S"
"60",23296367,"Ingmar_Jung",283,1571,654,74,703,"2009-03-08","10:47:11","","1DA1F2","C0DEED","DDEEF6","333333","C"
"61",23447001,"AMattfeldt",1,278,88,87,127,"2009-03-09","15:22:39","Völkersen","1DA1F2","C0DEED","DDEEF6","333333","C"
